base_municipality,detected_category,depth,title,url,source_page_title,source_page_url,error,score,display_rank,category_label
豊島区,district_plan,2,事業所からでる資源・ごみ,https://www.city.toshima.lg.jp/155/2311271035.html,暮らし・地域,https://www.city.toshima.lg.jp/kurashi/index.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,高齢者向け情報冊子,https://www.city.toshima.lg.jp/166/2511131645.html,健康・医療・福祉,https://www.city.toshima.lg.jp/kenko/index.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,障害者福祉のしおり,https://www.city.toshima.lg.jp/171/2008251447.html,健康・医療・福祉,https://www.city.toshima.lg.jp/kenko/index.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,健康トピックス,https://www.city.toshima.lg.jp/208/kenko/kenko/1803150909.html,健康・医療・福祉,https://www.city.toshima.lg.jp/kenko/index.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,保健事業実績,https://www.city.toshima.lg.jp/208/kenko/kenko/1803150959.html,健康・医療・福祉,https://www.city.toshima.lg.jp/kenko/index.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,PAGE TOP,https://www.city.toshima.lg.jp/208/kenko/kenko/251101.html#tmp_header,【池袋保健所移転】豊島区保健所が開所しました,https://www.city.toshima.lg.jp/208/kenko/kenko/251101.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,地域保健課（報告書）,https://www.city.toshima.lg.jp/208/kuse/shisaku/shisaku/hakusho/chiiki/index.html,区政情報,https://www.city.toshima.lg.jp/kuse/index.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,地域保健課管理グループ,https://www.city.toshima.lg.jp/208/kuse/soshiki/ikebukuro/013245.html,【池袋保健所移転】豊島区保健所が開所しました,https://www.city.toshima.lg.jp/208/kenko/kenko/251101.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,飼い犬に狂犬病予防注射をしましょう,https://www.city.toshima.lg.jp/212/2501060958.html,暮らし・地域,https://www.city.toshima.lg.jp/kurashi/index.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,健康づくり,https://www.city.toshima.lg.jp/220/1803201421.html,健康・医療・福祉,https://www.city.toshima.lg.jp/kenko/index.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,子ども若者課（白書・報告書）,https://www.city.toshima.lg.jp/229/kuse/shisaku/shisaku/hakusho/kodomo/2106111055.html,区政情報,https://www.city.toshima.lg.jp/kuse/index.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,保育園の在園・退園に関すること,https://www.city.toshima.lg.jp/260/1809211433.html,子育て・教育,https://www.city.toshima.lg.jp/kosodate/index.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,地域型保育事業,https://www.city.toshima.lg.jp/262/kosodate/kosodate/hoikuen/033636.html,子育て・教育,https://www.city.toshima.lg.jp/kosodate/index.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,保育運営事業者の方へ,https://www.city.toshima.lg.jp/269/1809211511.html,子育て・教育,https://www.city.toshima.lg.jp/kosodate/index.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,都市計画課（白書・報告書）,https://www.city.toshima.lg.jp/294/machizukuri/toshikekaku/shisaku/1607051405.html,区政情報,https://www.city.toshima.lg.jp/kuse/index.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,地価公示価格,https://www.city.toshima.lg.jp/294/machizukuri/toshikekaku/shisaku/tochiriyo/006325.html,まちづくり・環境・産業,https://www.city.toshima.lg.jp/machizukuri/index.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,まちづくり関連の計画・方針類に関すること,https://www.city.toshima.lg.jp/294/machizukuri/toshikekaku/toshikekaku/1610110906.html,まちづくり・環境・産業,https://www.city.toshima.lg.jp/machizukuri/index.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,国土法に基づく土地売買等の届出制度,https://www.city.toshima.lg.jp/296/machizukuri/toshikekaku/shisaku/tochiriyo/1502200850.html,まちづくり・環境・産業,https://www.city.toshima.lg.jp/machizukuri/index.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,会計課（白書・報告書）,https://www.city.toshima.lg.jp/342/kaikei/hakusyo.html,区政情報,https://www.city.toshima.lg.jp/kuse/index.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,教育長の日記,https://www.city.toshima.lg.jp/347/documents/2505070916.html,子育て・教育,https://www.city.toshima.lg.jp/kosodate/index.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,教育委員会,https://www.city.toshima.lg.jp/347/kosodate/inkai/iinkai/1506301146.html,子育て・教育,https://www.city.toshima.lg.jp/kosodate/index.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,としまの教育,https://www.city.toshima.lg.jp/347/kosodate/inkai/index.html,子育て・教育,https://www.city.toshima.lg.jp/kosodate/index.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,教育計画,https://www.city.toshima.lg.jp/347/kosodate/inkai/vision/index.html,子育て・教育,https://www.city.toshima.lg.jp/kosodate/index.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,豊島区教育大綱,https://www.city.toshima.lg.jp/351/kosodate/inkai/vision/taiko/2506031548.html,子育て・教育,https://www.city.toshima.lg.jp/kosodate/index.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,冊子「学校案内」,https://www.city.toshima.lg.jp/353/kosodate/gakko/sho-chu/documents/1507151410.html,子育て・教育,https://www.city.toshima.lg.jp/kosodate/index.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,学校案内,https://www.city.toshima.lg.jp/353/kosodate/inkai/gakko/index.html,子育て・教育,https://www.city.toshima.lg.jp/kosodate/index.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,教育センター,https://www.city.toshima.lg.jp/359/kosodate/inkai/sennta/1506301312.html,子育て・教育,https://www.city.toshima.lg.jp/kosodate/index.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,選挙運動費用収支報告書の様式について,https://www.city.toshima.lg.jp/361/1901151126.html,区政情報,https://www.city.toshima.lg.jp/kuse/index.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,選挙人名簿登録者数,https://www.city.toshima.lg.jp/361/2009071448.html,区政情報,https://www.city.toshima.lg.jp/kuse/index.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,裁判員制度・検察審査会制度,https://www.city.toshima.lg.jp/361/2509021421.html,区政情報,https://www.city.toshima.lg.jp/kuse/index.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,衆議院議員選挙特集ページ（令和8年2月8日執行）,https://www.city.toshima.lg.jp/361/2601161957.html,区政情報,https://www.city.toshima.lg.jp/kuse/index.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,期日前投票所における投票用紙の交付ミスについて,https://www.city.toshima.lg.jp/361/2602041400.html,区政情報,https://www.city.toshima.lg.jp/kuse/index.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,選挙管理委員会,https://www.city.toshima.lg.jp/361/kuse/senkyo/004083.html,区政情報,https://www.city.toshima.lg.jp/kuse/index.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,衆議院小選挙区の区割り変更について（令和4年11月より）,https://www.city.toshima.lg.jp/361/kuse/senkyo/1707041113.html,区政情報,https://www.city.toshima.lg.jp/kuse/index.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,会議録（選挙管理委員会）,https://www.city.toshima.lg.jp/361/kuse/senkyo/kako/documents/2005261246.html,区政情報,https://www.city.toshima.lg.jp/kuse/index.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,在外投票,https://www.city.toshima.lg.jp/361/kuse/senkyo/sedo/004082.html,区政情報,https://www.city.toshima.lg.jp/kuse/index.html,,23,関連確認,都市計画・用途地域
