prefecture,municipality,category,subcategory,title,url,source_level,required_status,memo,display_scope,priority
東京都,杉並区,building_guidance,建築確認,建築,https://www.city.suginami.tokyo.jp/machizukuri/toshiseibi/kenchiku/index.html,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,30
東京都,杉並区,district_plan,都市計画情報,都市計画,https://www.city.suginami.tokyo.jp/machizukuri/toshiseibi/toshikeikaku/index.html,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,30
東京都,杉並区,hazard,ハザード,ハザードマップ・地震被害シミュレーション,https://www.city.suginami.tokyo.jp/bousai/bousai/hazardmap/index.html,区公式候補,確認候補,クロール結果から抽出した防災・ハザード関連の確認候補,municipality,10
東京都,杉並区,hazard,ハザード,土砂災害ハザードマップ,https://www.city.suginami.tokyo.jp/s015/1526.html,区公式候補,確認候補,クロール結果から抽出した防災・ハザード関連の確認候補,municipality,10
東京都,杉並区,hazard,ハザード,わが家の水害ハザードマップ,https://www.city.suginami.tokyo.jp/s098/462.html,区公式候補,確認候補,クロール結果から抽出した防災・ハザード関連の確認候補,municipality,10
東京都,杉並区,road,道路関連,道路台帳の閲覧,https://www.city.suginami.tokyo.jp/s097/1586.html,区公式候補,確認候補,クロール結果から抽出した道路・接道関連の確認候補,municipality,10
東京都,板橋区,hazard,ハザード,防災マップ・各種ハザードマップ,https://www.city.itabashi.tokyo.jp/bousai/bousai/map/index.html,区公式候補,確認候補,クロール結果から抽出した防災・ハザード関連の確認候補,municipality,10
東京都,板橋区,hazard,ハザード,板橋区洪水ハザードマップ,https://www.city.itabashi.tokyo.jp/bousai/bousai/map/1005633.html,区公式候補,確認候補,クロール結果から抽出した防災・ハザード関連の確認候補,municipality,10
東京都,板橋区,hazard,ハザード,板橋区土砂災害ハザードマップ,https://www.city.itabashi.tokyo.jp/bousai/bousai/map/1005634.html,区公式候補,確認候補,クロール結果から抽出した防災・ハザード関連の確認候補,municipality,10
東京都,板橋区,road,道路関連,道路台帳平面図の閲覧,https://www.city.itabashi.tokyo.jp/bousai/douro/1038299/index.html,区公式候補,確認候補,クロール結果から抽出した道路・接道関連の確認候補,municipality,10
東京都,江戸川区,building_guidance,建築確認,用途地域等都市計画情報・建築基準法による指定道路情報提供サービス,https://www.city.edogawa.tokyo.jp/e016/toshikeikaku/kenchiku/toshikeikakuteikyo.html,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,10
東京都,江戸川区,building_guidance,建築確認,許可・認定・届出（建築基準法・都市計画法第53条）,https://www.city.edogawa.tokyo.jp/toshikeikaku/kenchiku/nintei_todoke/index.html,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,20
東京都,江戸川区,building_guidance,建築確認,建築確認・検査・施工計画,https://www.city.edogawa.tokyo.jp/toshikeikaku/kenchiku/kensa_keikau/index.html,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,20
東京都,江戸川区,district_plan,都市計画情報,用途地域等都市計画情報・建築基準法による指定道路情報提供サービス,https://www.city.edogawa.tokyo.jp/e016/toshikeikaku/kenchiku/toshikeikakuteikyo.html,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,10
東京都,江戸川区,district_plan,都市計画情報,許可・認定・届出（建築基準法・都市計画法第53条）,https://www.city.edogawa.tokyo.jp/toshikeikaku/kenchiku/nintei_todoke/index.html,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,20
東京都,江戸川区,hazard,ハザード,水害 洪水 高潮 ハザードマップ 詳しく見る,https://www.city.edogawa.tokyo.jp/e007/bosaianzen/bosai/kanrenmap/hazardmap/index.html,区公式候補,確認候補,クロール結果から抽出した防災・ハザード関連の確認候補,municipality,10
東京都,江戸川区,road,道路関連,用途地域等都市計画情報・建築基準法による指定道路情報提供サービス,https://www.city.edogawa.tokyo.jp/e016/toshikeikaku/kenchiku/toshikeikakuteikyo.html,区公式候補,確認候補,クロール結果から抽出した道路・接道関連の確認候補,municipality,10
東京都,江東区,building_guidance,建築確認,建築,https://www.city.koto.lg.jp/machizukuri/kenchiku/index.html,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,30
東京都,江東区,district_plan,都市計画情報,都市計画・用途地域等について,https://www.city.koto.lg.jp/machizukuri/toshi/toshikekaku/index.html,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,10
東京都,江東区,district_plan,都市計画情報,道路台帳・資料,https://www.city.koto.lg.jp/machizukuri/dorokyoryo/dorodaicho/index.html,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,30
東京都,江東区,hazard,ハザード,防災マップ・ハザードマップ,https://www.city.koto.lg.jp/bosai-top/bosaimap/index.html,区公式候補,確認候補,クロール結果から抽出した防災・ハザード関連の確認候補,municipality,10
東京都,江東区,hazard,ハザード,ハザードマップ,https://www.city.koto.lg.jp/470601/20200701.html,区公式候補,確認候補,クロール結果から抽出した防災・ハザード関連の確認候補,municipality,10
東京都,江東区,road,道路関連,道路台帳・資料,https://www.city.koto.lg.jp/machizukuri/dorokyoryo/dorodaicho/index.html,区公式候補,確認候補,クロール結果から抽出した道路・接道関連の確認候補,municipality,10
東京都,渋谷区,building_guidance,建築確認,都市計画・建築・工事,https://www.city.shibuya.tokyo.jp/jigyosha/jigyo-kenchiku/keikaku-kenchiku/,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,30
東京都,渋谷区,district_plan,都市計画情報,都市計画情報,https://www.city.shibuya.tokyo.jp/kankyo/toshikeikaku/keikaku-info/,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,10
東京都,港区,building_guidance,建築確認,建築確認,https://www.city.minato.tokyo.jp/seikatsuanzen/kankyo-machi/kenchiku/kakunin/index.html,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,20
東京都,港区,building_guidance,建築確認,建築・開発,https://www.city.minato.tokyo.jp/kankyo-machi/kenchiku/index.html,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,30
東京都,港区,district_plan,都市計画情報,浸水ハザードマップ,https://www.city.minato.tokyo.jp/dobokukeikaku/bosai-anzen/bosai/shinsui/hazard-map/index.html,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,10
東京都,港区,district_plan,都市計画情報,都市計画・まちづくり,https://www.city.minato.tokyo.jp/kankyo-machi/toshikekaku/index.html,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,30
東京都,港区,hazard,ハザード,浸水ハザードマップ,https://www.city.minato.tokyo.jp/dobokukeikaku/bosai-anzen/bosai/shinsui/hazard-map/index.html,区公式候補,確認候補,クロール結果から抽出した防災・ハザード関連の確認候補,municipality,10
東京都,目黒区,district_plan,都市計画情報,目黒区都市計画施設図（都市計画道路等）,https://www.city.meguro.tokyo.jp/toshikeikaku/shigoto/machidukuri/toshikeikakushisetsuzu.html,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,30
東京都,目黒区,hazard,ハザード,土砂災害ハザードマップ,https://www.city.meguro.tokyo.jp/bousai/bousaianzen/bousai/dosha-map.html,区公式候補,確認候補,クロール結果から抽出した防災・ハザード関連の確認候補,municipality,10
東京都,目黒区,hazard,ハザード,水害ハザードマップ,https://www.city.meguro.tokyo.jp/bousai/bousaianzen/bousai/map.html,区公式候補,確認候補,クロール結果から抽出した防災・ハザード関連の確認候補,municipality,10
東京都,練馬区,hazard,ハザード,練馬区水害ハザードマップ,https://www.city.nerima.tokyo.jp/kurashi/bosai/suigai/hazardmap.html,区公式候補,確認候補,クロール結果から抽出した防災・ハザード関連の確認候補,municipality,10
東京都,練馬区,hazard,ハザード,練馬区土砂災害ハザードマップ,https://www.city.nerima.tokyo.jp/kurashi/bosai/suigai/20171206.html,区公式候補,確認候補,クロール結果から抽出した防災・ハザード関連の確認候補,municipality,10
東京都,荒川区,building_guidance,建築確認,位置指定道路（建築基準法第42条第1項第五号）,https://www.city.arakawa.tokyo.jp/a044/machizukuridoboku/kenchikukaihatsu/ichishitei.html,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,30
東京都,荒川区,building_guidance,建築確認,指定道路情報（建築基準法の道路種別）,https://www.city.arakawa.tokyo.jp/a044/machizukuridoboku/tochidouro/siteidouro.html,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,30
東京都,荒川区,district_plan,都市計画情報,位置指定道路（建築基準法第42条第1項第五号）,https://www.city.arakawa.tokyo.jp/a044/machizukuridoboku/kenchikukaihatsu/ichishitei.html,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,30
