base_municipality,category,search_keyword,google_search_url,registered_url
大田区,building_guidance,大田区 建築指導課,https://www.google.com/search?q=%E5%A4%A7%E7%94%B0%E5%8C%BA+%E5%BB%BA%E7%AF%89%E6%8C%87%E5%B0%8E%E8%AA%B2,
世田谷区,official,世田谷区 公式サイト,https://www.google.com/search?q=%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA+%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,
世田谷区,road,世田谷区 指定道路図,https://www.google.com/search?q=%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA+%E6%8C%87%E5%AE%9A%E9%81%93%E8%B7%AF%E5%9B%B3,
世田谷区,district_plan,世田谷区 地区計画,https://www.google.com/search?q=%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA+%E5%9C%B0%E5%8C%BA%E8%A8%88%E7%94%BB,
世田谷区,building_guidance,世田谷区 建築指導課,https://www.google.com/search?q=%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA+%E5%BB%BA%E7%AF%89%E6%8C%87%E5%B0%8E%E8%AA%B2,
渋谷区,official,渋谷区 公式サイト,https://www.google.com/search?q=%E6%B8%8B%E8%B0%B7%E5%8C%BA+%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,https://www.city.shibuya.tokyo.jp/
渋谷区,road,渋谷区 指定道路図,https://www.google.com/search?q=%E6%B8%8B%E8%B0%B7%E5%8C%BA+%E6%8C%87%E5%AE%9A%E9%81%93%E8%B7%AF%E5%9B%B3,
渋谷区,district_plan,渋谷区 地区計画,https://www.google.com/search?q=%E6%B8%8B%E8%B0%B7%E5%8C%BA+%E5%9C%B0%E5%8C%BA%E8%A8%88%E7%94%BB,
渋谷区,building_guidance,渋谷区 建築指導課,https://www.google.com/search?q=%E6%B8%8B%E8%B0%B7%E5%8C%BA+%E5%BB%BA%E7%AF%89%E6%8C%87%E5%B0%8E%E8%AA%B2,
中野区,official,中野区 公式サイト,https://www.google.com/search?q=%E4%B8%AD%E9%87%8E%E5%8C%BA+%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,
中野区,road,中野区 指定道路図,https://www.google.com/search?q=%E4%B8%AD%E9%87%8E%E5%8C%BA+%E6%8C%87%E5%AE%9A%E9%81%93%E8%B7%AF%E5%9B%B3,
中野区,district_plan,中野区 地区計画,https://www.google.com/search?q=%E4%B8%AD%E9%87%8E%E5%8C%BA+%E5%9C%B0%E5%8C%BA%E8%A8%88%E7%94%BB,
