base_municipality,category,search_query,rank,score,title,url,snippet,error
荒川区,road,荒川区 指定道路図 道路台帳 建築基準法道路,1,0,,,,403 Client Error: Forbidden for url: https://html.duckduckgo.com/html/?q=%E8%8D%92%E5%B7%9D%E5%8C%BA+%E6%8C%87%E5%AE%9A%E9%81%93%E8%B7%AF%E5%9B%B3+%E9%81%93%E8%B7%AF%E5%8F%B0%E5%B8%B3+%E5%BB%BA%E7%AF%89%E5%9F%BA%E6%BA%96%E6%B3%95%E9%81%93%E8%B7%AF
葛飾区,building_guidance,葛飾区 建築指導課 建築確認,1,0,,,,"HTTPSConnectionPool(host='duckduckgo.com', port=443): Max retries exceeded with url: /html/?q=%E8%91%9B%E9%A3%BE%E5%8C%BA+%E5%BB%BA%E7%AF%89%E6%8C%87%E5%B0%8E%E8%AA%B2+%E5%BB%BA%E7%AF%89%E7%A2%BA%E8%AA%8D (Caused by ConnectTimeoutError(<HTTPSConnection(host='duckduckgo.com', port=443) at 0x1b34abf6210>, 'Connection to duckduckgo.com timed out. (connect timeout=20)'))"
葛飾区,district_plan,葛飾区 地区計画,1,0,,,,"HTTPSConnectionPool(host='duckduckgo.com', port=443): Max retries exceeded with url: /html/?q=%E8%91%9B%E9%A3%BE%E5%8C%BA+%E5%9C%B0%E5%8C%BA%E8%A8%88%E7%94%BB (Caused by ConnectTimeoutError(<HTTPSConnection(host='duckduckgo.com', port=443) at 0x1b34abf5f90>, 'Connection to duckduckgo.com timed out. (connect timeout=20)'))"
葛飾区,official,葛飾区 公式サイト,1,0,,,,"HTTPSConnectionPool(host='duckduckgo.com', port=443): Max retries exceeded with url: /html/?q=%E8%91%9B%E9%A3%BE%E5%8C%BA+%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88 (Caused by ConnectTimeoutError(<HTTPSConnection(host='duckduckgo.com', port=443) at 0x1b34abf5a90>, 'Connection to duckduckgo.com timed out. (connect timeout=20)'))"
葛飾区,road,葛飾区 指定道路図 道路台帳 建築基準法道路,1,0,,,,"HTTPSConnectionPool(host='duckduckgo.com', port=443): Max retries exceeded with url: /html/?q=%E8%91%9B%E9%A3%BE%E5%8C%BA+%E6%8C%87%E5%AE%9A%E9%81%93%E8%B7%AF%E5%9B%B3+%E9%81%93%E8%B7%AF%E5%8F%B0%E5%B8%B3+%E5%BB%BA%E7%AF%89%E5%9F%BA%E6%BA%96%E6%B3%95%E9%81%93%E8%B7%AF (Caused by ConnectTimeoutError(<HTTPSConnection(host='duckduckgo.com', port=443) at 0x1b34abf5d10>, 'Connection to duckduckgo.com timed out. (connect timeout=20)'))"
豊島区,building_guidance,豊島区 建築指導課 建築確認,1,0,,,,403 Client Error: Forbidden for url: https://html.duckduckgo.com/html/?q=%E8%B1%8A%E5%B3%B6%E5%8C%BA+%E5%BB%BA%E7%AF%89%E6%8C%87%E5%B0%8E%E8%AA%B2+%E5%BB%BA%E7%AF%89%E7%A2%BA%E8%AA%8D
豊島区,district_plan,豊島区 地区計画,1,0,,,,403 Client Error: Forbidden for url: https://html.duckduckgo.com/html/?q=%E8%B1%8A%E5%B3%B6%E5%8C%BA+%E5%9C%B0%E5%8C%BA%E8%A8%88%E7%94%BB
豊島区,official,豊島区 公式サイト,1,0,,,,403 Client Error: Forbidden for url: https://html.duckduckgo.com/html/?q=%E8%B1%8A%E5%B3%B6%E5%8C%BA+%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88
豊島区,road,豊島区 指定道路図 道路台帳 建築基準法道路,1,0,,,,403 Client Error: Forbidden for url: https://html.duckduckgo.com/html/?q=%E8%B1%8A%E5%B3%B6%E5%8C%BA+%E6%8C%87%E5%AE%9A%E9%81%93%E8%B7%AF%E5%9B%B3+%E9%81%93%E8%B7%AF%E5%8F%B0%E5%B8%B3+%E5%BB%BA%E7%AF%89%E5%9F%BA%E6%BA%96%E6%B3%95%E9%81%93%E8%B7%AF
足立区,building_guidance,足立区 建築指導課 建築確認,1,0,,,,"HTTPSConnectionPool(host='duckduckgo.com', port=443): Max retries exceeded with url: /html/?q=%E8%B6%B3%E7%AB%8B%E5%8C%BA+%E5%BB%BA%E7%AF%89%E6%8C%87%E5%B0%8E%E8%AA%B2+%E5%BB%BA%E7%AF%89%E7%A2%BA%E8%AA%8D (Caused by ConnectTimeoutError(<HTTPSConnection(host='duckduckgo.com', port=443) at 0x1b34abf56d0>, 'Connection to duckduckgo.com timed out. (connect timeout=20)'))"
足立区,district_plan,足立区 地区計画,1,0,,,,"('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))"
足立区,official,足立区 公式サイト,1,0,,,,403 Client Error: Forbidden for url: https://html.duckduckgo.com/html/?q=%E8%B6%B3%E7%AB%8B%E5%8C%BA+%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88
足立区,road,足立区 指定道路図 道路台帳 建築基準法道路,1,0,,,,403 Client Error: Forbidden for url: https://html.duckduckgo.com/html/?q=%E8%B6%B3%E7%AB%8B%E5%8C%BA+%E6%8C%87%E5%AE%9A%E9%81%93%E8%B7%AF%E5%9B%B3+%E9%81%93%E8%B7%AF%E5%8F%B0%E5%B8%B3+%E5%BB%BA%E7%AF%89%E5%9F%BA%E6%BA%96%E6%B3%95%E9%81%93%E8%B7%AF
