base_municipality,detected_category,depth,title,url,source_page_title,source_page_url,error
世田谷区,hazard,3,区の防災計画,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/12847.html,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,
世田谷区,hazard,3,等々力地区の震災時の避難場所と防災情報,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12183.html#a10438,安全・安心・防災,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12183.html,
世田谷区,road,1,等々力地区,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/index.html,公式トップ,https://www.city.setagaya.lg.jp/,
世田谷区,road,2,"地区の地図（PDF：8,361KB）",https://www.city.setagaya.lg.jp/documents/14936/todoroki_tikumap.pdf,等々力地区,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/index.html,
世田谷区,road,2,等々力地区のお知らせ一覧を見る,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12176.html,等々力地区,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/index.html,
世田谷区,road,2,等々力地区のできごと一覧を見る,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12178.html,等々力地区,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/index.html,
世田谷区,road,2,子ども・子育て,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12180.html,等々力地区,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/index.html,
世田谷区,road,2,地域の見守り（高齢者・障害者）,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12181.html,等々力地区,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/index.html,
世田谷区,road,2,健康・地域交流,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12182.html,等々力地区,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/index.html,
世田谷区,road,2,安全・安心・防災,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12183.html,等々力地区,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/index.html,
世田谷区,road,2,ごみ減量・リサイクル,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12184.html,等々力地区,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/index.html,
